"Marketplace ID","Merchant ID","Order Date","Transaction Type","Is Invoice Corrected","Order ID","Shipment Date","Shipment ID","Transaction ID",ASIN,SKU,Quantity,"Tax Calculation Date","Tax Rate","Product Tax Code",Currency,"Tax Type","Tax Calculation Reason Code","Tax Reporting Scheme","Tax Collection Responsibility","Tax Address Role","Jurisdiction Level","Jurisdiction Name","OUR_PRICE Tax Inclusive Selling Price","OUR_PRICE Tax Amount","OUR_PRICE Tax Exclusive Selling Price","OUR_PRICE Tax Inclusive Promo Amount","OUR_PRICE Tax Amount Promo","OUR_PRICE Tax Exclusive Promo Amount","SHIPPING Tax Inclusive Selling Price","SHIPPING Tax Amount","SHIPPING Tax Exclusive Selling Price","SHIPPING Tax Inclusive Promo Amount","SHIPPING Tax Amount Promo","SHIPPING Tax Exclusive Promo Amount","GIFTWRAP Tax Inclusive Selling Price","GIFTWRAP Tax Amount","GIFTWRAP Tax Exclusive Selling Price","GIFTWRAP Tax Inclusive Promo Amount","GIFTWRAP Tax Amount Promo","GIFTWRAP Tax Exclusive Promo Amount","Seller Tax Registration","Seller Tax Registration Jurisdiction","Buyer Tax Registration","Buyer Tax Registration Jurisdiction","Buyer Tax Registration Type","Buyer E Invoice Account Id","Invoice Level Currency Code","Invoice Level Exchange Rate","Invoice Level Exchange Rate Date","Converted Tax Amount","VAT Invoice Number","Invoice Url","Export Outside EU","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship From Tax Location Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Ship To Location Code","Return Fc Country","Is Amazon Invoiced","Original VAT Invoice Number","Invoice Correction Details","E-Invoice Delivery Status","E-Invoice Error Code","E-Invoice Error Description","E-Invoice Status Last Updated Date","EInvoice URL","Buyer Peppol Id","Seller Peppol Id","Buyer NIP","Seller NIP","KSeF Number"
DE,122283732812,"28-Mar-2026 UTC",SHIPMENT,FALSE,305-8850787-6321113,"30-Mar-2026 UTC",26157647646039,26157647646039,B0D7765GRG,439522-39,1,"28-Mar-2026 UTC",0.1900,A_GEN_STANDARD,EUR,VAT,Taxable,VCS_EU_OSS,Seller,ShipTo,Country,GERMANY,139.53,22.28,117.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES6000209FPVBU,"https://sellercentral.amazon.de/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3aec25a226-b9bf-4f90-95b9-74f1e36108e4&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,Sanitz,,DE,18190,802760000,,true,,,,,,,,,,,,
DE,122283732812,"17-Mar-2026 UTC",SHIPMENT,FALSE,304-1463805-4669117,"18-Mar-2026 UTC",26122791137039,26122791137039,B07DPSG85S,341203-37,1,"17-Mar-2026 UTC",0.1900,A_GEN_STANDARD,EUR,VAT,Taxable,VCS_EU_OSS,Seller,ShipTo,Country,GERMANY,84.87,13.55,71.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60001S9FPVBU,"https://sellercentral.amazon.de/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3add64a325-521f-449d-a5e9-b2b68571901a&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,"Halle (Saale)",Sachsen-Anhalt,DE,06130,802760000,,true,,,,,,,,,,,,
DE,122283732812,"15-Mar-2026 UTC",RETURN,FALSE,302-0908205-1804300,"26-Mar-2026 UTC",26114888746039,"amzn1:crow:0EEyZORqRwuoaOnTDKoN0A",B0D4YTWDY1,090189-40,1,"15-Mar-2026 UTC",0.1900,A_GEN_STANDARD,EUR,VAT,Taxable,VCS_EU_OSS,Seller,ShipTo,Country,GERMANY,-107.80,-17.21,-90.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60000G9FPVBQ,"https://sellercentral.amazon.de/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a05bba7b5-7178-446e-83f6-c5f4861d6190&t=EU_Retail_Reversal",false,Pamplona,Navarra,ES,31001,807240000,Minden,,DE,32429,802760000,,true,,,,,,,,,,,,
DE,122283732812,"15-Mar-2026 UTC",SHIPMENT,FALSE,302-0908205-1804300,"16-Mar-2026 UTC",26114888746039,26114888746039,B0D4YTWDY1,090189-40,1,"15-Mar-2026 UTC",0.1900,A_GEN_STANDARD,EUR,VAT,Taxable,VCS_EU_OSS,Seller,ShipTo,Country,GERMANY,107.80,17.21,90.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60001R9FPVBU,"https://sellercentral.amazon.de/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a6ef34e4c-c22c-4798-b455-e659895f7797&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,Minden,,DE,32429,802760000,,true,,,,,,,,,,,,
DE,122283732812,"01-Mar-2026 UTC",SHIPMENT,FALSE,028-5015437-9877950,"02-Mar-2026 UTC",26059132555039,26059132555039,B0CH134DW4,673366-38,1,"01-Mar-2026 UTC",0.1900,A_GEN_STANDARD,EUR,VAT,Taxable,VCS_EU_OSS,Seller,ShipTo,Country,GERMANY,109.84,17.54,92.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60001I9FPVBU,"https://sellercentral.amazon.de/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3a85390077-8d7f-4a8e-9e72-dce91d533834&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,Stuttgart,,DE,70565,802760001,,true,,,,,,,,,,,,
DE,122283732812,"16-Feb-2026 UTC",REFUND,FALSE,303-1126271-7631545,"05-Mar-2026 UTC",26008647739039,"amzn1:crow:PBcB/1LORc6nkwY2aNc2fg",B0D4YTWDY1,090189-40,1,"16-Feb-2026 UTC",0.1900,A_GEN_STANDARD,EUR,VAT,Taxable,VCS_EU_OSS,Seller,ShipTo,Country,GERMANY,-107.80,-17.21,-90.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60000C9FPVBQ,"https://sellercentral.amazon.de/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3abe498133-6919-435a-8543-9a65f5b3a9f4&t=EU_Retail_Reversal",false,Pamplona,Navarra,ES,31001,807240000,Düren,,DE,52349,802760000,,true,,,,,,,,,,,,
DE,122283732812,"18-Mar-2026 UTC",SHIPMENT,FALSE,302-5687094-5145138,"20-Mar-2026 UTC",26125654122039,26125654122039,B0BRWG3SNN,815873-37,1,"18-Mar-2026 UTC",0.1900,A_GEN_STANDARD,EUR,VAT,Taxable,VCS_EU_OSS,Seller,ShipTo,Country,GERMANY,102.29,16.33,85.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60001T9FPVBU,"https://sellercentral.amazon.de/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3ab7157644-8990-4967-aa4f-e51b7a49e5b8&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,Dessau,,DE,06842,802760000,,true,,,,,,,,,,,,
DE,122283732812,"12-Mar-2026 UTC",SHIPMENT,FALSE,306-2435787-8641946,"13-Mar-2026 UTC",26105607390039,26105607390039,B0DG5V9CBP,867043-39,1,"12-Mar-2026 UTC",0.1900,A_GEN_STANDARD,EUR,VAT,Taxable,VCS_EU_OSS,Seller,ShipTo,Country,GERMANY,93.39,14.91,78.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60001P9FPVBU,"https://sellercentral.amazon.de/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3aa7b03bf7-e813-4a80-b656-da7c4e94bc0b&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,Celle,,DE,29229,802760000,,true,,,,,,,,,,,,
DE,122283732812,"11-Feb-2026 UTC",RETURN,FALSE,304-2064403-8552307,"09-Mar-2026 UTC",25987058577039,"amzn1:crow:1qdXjJT2Rw6l9fMaE0+wHA",B092LKGL6S,191937-37,1,"11-Feb-2026 UTC",0.1900,A_GEN_STANDARD,EUR,VAT,Taxable,VCS_EU_OSS,Seller,ShipTo,Country,GERMANY,-153.99,-24.59,-129.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES60000D9FPVBQ,"https://sellercentral.amazon.de/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3abafc72fc-78c7-46c4-9977-3806b99fb420&t=EU_Retail_Reversal",false,Pamplona,Navarra,ES,31001,807240000,Griesstätt,,DE,83556,802760000,,true,,,,,,,,,,,,
DE,122283732812,"28-Mar-2026 UTC",SHIPMENT,FALSE,305-7464700-4861114,"30-Mar-2026 UTC",26155929128039,26155929128039,B0D77667JT,439522-40,1,"28-Mar-2026 UTC",0.1900,A_GEN_STANDARD,EUR,VAT,Taxable,VCS_EU_OSS,Seller,ShipTo,Country,GERMANY,123.28,19.68,103.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ESB71337349,ES,,,,,,0.0000,,0.00,ES6000219FPVBU,"https://sellercentral.amazon.de/document/download?v=urn%3aalx%3adoc%3a9d8cab0f-1f96-4462-8642-ace99a371392%3aecdfc12c-4a8a-4066-b14b-1a805e5d4ad3&t=EU_Retail_Forward",false,Pamplona,Navarra,ES,31001,807240000,Ilsfeld-Auenstein,,DE,74360,802760001,,true,,,,,,,,,,,,
