ref_erp,sku_amazon,asin,ean_amazon,ean_erp,ean_final,origen_ean,metodo_match,sku_coincide,ean_coincide,todos_ean_erp,situacion_erp,titulo_amazon,is_active,notes
80002383,80002383,B016C0PA4W,,5410288267876,5410288267876,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002383, 5410288267876, 5410288296975",Normal,,true,
80002388,80002388,B01N6XFYJ2,,5410288269740,5410288269740,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002388, 5410288269740, 5410288294964",Normal,,true,
80002390,80002390,B01N3AHCG4,,5410288269764,5410288269764,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002390, 5410288269764, 5410288296272",Preferente,,true,
80002391,80002391,B01MYETCD2,,5410288269771,5410288269771,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002391, 5410288269771, 5410288296289",Preferente,,true,
80002392,80002392,B01MZGEUEF,,5410288269719,5410288269719,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002392, 5410288269719, 5410288293691",Normal,,true,
80002393,80002393,B01N3ADFO7,,5410288269733,5410288269733,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002393, 5410288269733, 5410288296111",Preferente,,true,
80002396,80002396,B01MTFRG7A,,5410288274645,5410288274645,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002396, 5410288274645, 5410288285658, 5410288291413",Normal,,true,
80002399,80002399,B01MUHCL5P,,5410288274621,5410288274621,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002399, 5410288274621, 5410288291833",Preferente,,true,
80002400,80002400,B01MYEVWF1,,5410288274638,5410288274638,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002400, 5410288274638, 5410288291857",Preferente,,true,
80002970,80002970,B077TBDLQ1,,5410288267661,5410288267661,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80002970, 5410288267661, 5410288292359",Preferente,,true,
80003027,80003027,B0CRWLWL9N,,5410288279688,5410288279688,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003027, 5410288279688, 5410288295930",Preferente,,true,
80003028,80003028,B0719BRTTZ,,5410288279664,5410288279664,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003028, 5410288279664, 5410288295947",Preferente,,true,
80003029,80003029,B07414C5HL,,5410288279695,5410288279695,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003029, 5410288279695, 5410288295954",Preferente,,true,
80003081,80003081,B0719BRSMH,,5410288279046,5410288279046,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003081, 5410288279046, 5410288300412",Normal,,true,
80003082,80003082,B071L89JMQ,,5410288279053,5410288279053,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003082, 5410288279053, 5410288295978, 5410288300429",Normal,,true,
80003083,80003083,B07414N1HJ,,5410288279060,5410288279060,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003083, 5410288279060, 5410288300238, 5410288300436",Normal,,true,
80003084,80003084,B07145HDN2,5410288279022,5410288279022,5410288279022,Helium 10,SKU = ref ERP,SI,SI,"80003084, 5410288279022, 5410288300450",Normal,Sylvania LED 20 W 2452lm 4000 K E27 Forma de la Bombilla,true,
80003104,80003104,B06XH4DPZN,,5410288263311,5410288263311,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003104, 5410288263311, 5410288292052",Normal,,true,
80003114,80003114,B07622N1V4,,5410288273976,5410288273976,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003114, 5410288273976, 5410288282329, 5410288282770, 5410288292946",Preferente,,true,
80003175,80003175,B07MFLY52J,,5410288277813,5410288277813,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003175, 5410288277813, 5410288302584",Preferente,,true,
80003273,80003273,B08288X99X,,5410288276649,5410288276649,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003273, 5410288276649, 5410288291888",Preferente,,true,
80003274,80003274,B08289X3Q6,,5410288276656,5410288276656,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003274, 5410288276656, 5410288291895",Preferente,,true,
80003316,80003316,B07KQZMP2Z,,5410288275154,5410288275154,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003316, 5410288275154, 5410288296104",Normal,,true,
80003317,80003317,B08LVXQXKD,,5410288275178,5410288275178,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003317, 5410288275178, 5410288296258",Normal,,true,
80003318,80003318,B08LVYJVBM,,5410288275185,5410288275185,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003318, 5410288275185, 5410288296265",Normal,,true,
80003355,80003355,B07RMY5D1H,,5410288282701,5410288282701,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003355, 5410288282701, 5410288291987",Normal,,true,
80003360,80003360,B09NQFCQ1J,,5410288283418,5410288283418,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003360, 5410288283418, 5410288296302",Normal,,true,
80003361,80003361,B07HWXDVWJ,,5410288283425,5410288283425,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003361, 5410288283425, 5410288296319",Normal,,true,
80003362,80003362,B09NQFQGPJ,5410288296326,5410288283449,5410288296326,Helium 10,SKU = ref ERP,SI,SI (codigo secundario),"80003362, 5410288283449, 5410288296326",Normal,Bombilla Led TOLEDO esfericaE14 6.5w 4000K SYLVANIA 0029632,true,
80003364,80003364,B07H956XM2,,5410288283340,5410288283340,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003364, 5410288283340, 5410288296135",Normal,,true,
80003365,80003365,B07H94V19G,,5410288283371,5410288283371,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003365, 5410288283371, 5410288296159",Normal,,true,
80003366,80003366,B09NQF3Q32,,5410288283395,5410288283395,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80003366, 5410288283395, 5410288296166",Normal,,true,
80003595,80003595,B074H1L8N1,5410288290041,5410288290041,5410288290041,Helium 10,SKU = ref ERP,SI,SI,"80003595, 5410288290041",Preferente,"SYLVANIA 29004 - Bombilla LED, transparente",true,
80004020,80004020,B007UC3O04,,5410288027227,5410288027227,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80004020, 5410288027227",Normal,,true,
80004158,80004158,B079CGX7SK,,5410288510583,5410288510583,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80004158, 5410288510583",Normal,,true,
80004255,80004255,B07K4YJFGG,,5410288451626,5410288451626,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80004255, 5410288451626",Normal,,true,
80004705,80004705,B0FRD2Y16R,,5410288282763,5410288282763,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80004705, 5410288282312, 5410288282763, 5410288282930, 5410288292939",Normal,,true,
80004708,80004708,B0FRCXB5FJ,5410288302416,5410288282794,5410288302416,Helium 10,SKU = ref ERP,SI,SI (codigo secundario),"80004708, 5410288282343, 5410288282794, 5410288292960, 5410288302416",Normal,"Tubo TL LED Sylvania ToLEDo 13,3 W 6500 K 2000 lm 120 cm",true,
80004711,80004711,B0GNK5XCLQ,5410288302447,5410288282824,5410288302447,Helium 10,SKU = ref ERP,SI,SI (codigo secundario),"80004711, 5410288282824, 5410288292991, 5410288302447",Normal,Sylvania - Tubo LED T8 CCG G13 18W 2700LM Blanco Frío 1500mm,true,
80005628,80005628,B08P4Z2PQT,,5410288053769,5410288053769,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80005628, 5410288053769",Normal,,true,
80005630,80005630,B093HLSX4W,,5410288053707,5410288053707,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"80005630, 5410288053707",Normal,,true,
