ref_erp,sku_amazon,asin,ean_amazon,ean_erp,ean_final,origen_ean,metodo_match,sku_coincide,ean_coincide,todos_ean_erp,situacion_erp,titulo_amazon,is_active,notes
,0G-IRKR-QDCK,B07PPXDXXN,15410288013173,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,LAMPARA Solarium Bronceado TUBO Fluorescente RAYOS UVA HERAEUS 80040467 OHC 160W-R18L 1800mm 500 Horas MEDIDA ESPECIAL SPORTARREDO (CL3 160) L (B17),true,
150000004,0O-DYPA-74IN,B094YNKM9L,5994100022008,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,0S-RIWB-3N24,B000UXBORU,7777777027051,,7777777027051,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"Osram cebadores - Cebador st151 25er para 4-8,15,18,22w 230v",true,
1009000635,1009000635,B007WU2PMW,4050341265404,,4050341265404,Helium 10,SKU = ref ERP,SI,NO — EAN no existe en ERP,1009000635,Normal,"Osram lámpara halógena Decostar 35 – GU4, 12 V – 20 W 36 °",true,
1012000105,1012000105,B005DTV88Q,4008321977670,,4008321977670,Helium 10,SKU = ref ERP,REVISAR (SKU y EAN discrepan),NO — el EAN es de otra ref,101200010501,Normal,Osram HALOLINE ECO 64696 ECO - Lámpara halógena,true,
1110000010,1110000010,B0002LGS2G,8711500409867,8711500409867,8711500409867,Helium 10,SKU = ref ERP,SI,SI,"1110000010, 8711500409867, 8711500423306",Normal,Philips 40986750 Halógeno,true,
1110000276,1110000276,B000SIBHEW,,8711500126535,8711500126535,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1110000276, 8711500126535",Normal,,true,
1110000290,1110000290,B000LQCVRI,,8711500726179,8711500726179,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1110000290, 8711500638618, 8711500726179",Normal,,true,
1110000292,1110000292,B004X61LIC,,8711500726209,8711500726209,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1110000292, 8711500638625, 8711500726209",Normal,,true,
1110000456,1110000456,B003Z7NBNI,,8711500903792,8711500903792,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1110000456, 8711500903792",Normal,,true,
1110000466,1110000466,B00IWEJGTC,,8711500643025,8711500643025,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1110000466, 8711500643025, 8711500643032",Normal,,true,
1110000577,1110000577,B00208L3U6,,8711500260260,8711500260260,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1110000577, 8711500260260, 8711500260277",Normal,,true,
111011947,111011947,B000UX9VF2,,8711500011947,8711500011947,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111011947, 8711500011947",Preferente,,true,
111181145,111181145,B000UXDLHQ,8711500181145,8711500181145,8711500181145,Helium 10,SKU = ref ERP,SI,SI,"111181145, 8711500181145",Normal,"Philips 18114515 Bombilla de Halogenuros Metálicos, 250 W",true,
111270496,111270496,B0019CEEUK,8711500635310,8711500635310,8711500635310,Helium 10,SKU = ref ERP,SI,SI,"111270496, 8711500635310, 8711500716002",Preferente,"Philips Bombilla PL-C G24d-3 2, 26 W",true,
111270625,111270625,B00O4496JY,,8711500710093,8711500710093,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111270625, 8711500710093, 8711500867490",Preferente,,true,
111286976,111286976,B000ONWHPO,,8711500643087,8711500643087,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111286976, 8711500643087",Normal,,true,
111302090,111302090,B00CJA1FYY,,8711500632135,8711500632135,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111302090, 8711500632135, 8711500632142",Normal,,true,
111302182,111302182,B007JTCTR2,8711500631954,8711500631954,8711500631954,Helium 10,SKU = ref ERP,SI,SI,"111302182, 8711500631954, 8711500631961",Normal,Philips - Lámpara fluorescente master tld super 80 36w/830 slv/25,true,
111620811,111620811,B00EL82G7M,,8711500620811,8711500620811,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111620811, 8711500620811, 8711500715647",Normal,,true,
111706683,111706683,B00O449IDS,,8711500706683,8711500706683,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111706683, 8711500706683, 8711500710734",Normal,,true,
111761903,111761903,B006HTKYUO,,8711500639400,8711500639400,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111761903, 8711500639400, 8711500867483",Preferente,,true,
111780614,111780614,B00OLU03L6,,8711500620910,8711500620910,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111780614, 8711500620910, 8711500715777",Preferente,,true,
111780898,111780898,B003F1MX9M,,8711500639622,8711500639622,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111780898, 8711500260031, 8711500639622",Normal,,true,
111785862,111785862,B00GWDEOH4,,8711500623348,8711500623348,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111785862, 8711500623348, 8711500715906",Preferente,,true,
111785879,111785879,B00EL7CERK,,8711500620842,8711500620842,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"111785879, 8711500620842, 8711500715685",Normal,,true,
1162000038,1162000038,B077SVKZDM,,,,SIN DATO,SKU = ref ERP,SI,SIN EAN EN AMAZON,116200003801,Normal,,true,
1216002699,1216002699,B07FNKKBF2,,4058075110205,4058075110205,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1216002699, 4058075110205, 4058075110212",Normal,,true,
1216005190,1216005190,B0CFFCHVL4,4058075822153,4058075822153,4058075822153,Helium 10,SKU = ref ERP,SI,SI,"1216005190, 4058075822153",Normal,Ledvance Dulux-L LED 18W - 840 blanco frío | repuesto para 36 W,true,
1220000003,1220000003,B01L71O6QO,,,,SIN DATO,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1220000003, 4052899961166, 4052899961357",Normal,,true,
1220002329,1220002329,B074GWBGRK,,,,SIN DATO,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1220002329, 4058075017900, 4058075017917",Normal,,true,
1220002940,1220002940,B07FWCYXR2,4058075135383,4058075135383,4058075135383,Helium 10,SKU = ref ERP,SI,SI,"1220002940, 4058075135383, 4058075135390",Normal,"OSRAM Dulux L | LED – Bombilla LED con Socket de 2 G11, no regulable, color blanco frío – 4000 KELVIN | 1er de Pack",true,
1220003431,1220003431,B07Z9FG489,,4058075271944,4058075271944,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1220003431, 4058075271944, 4058075271951",Normal,,true,
1220003853,1220003853,B08CVPG4M6,,4058075448902,4058075448902,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1220003853, 4058075448902",Normal,,true,
1220004159,1220004159,B09MG2HQ7P,,4058075608856,4058075608856,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"1220004159, 4058075608856",Normal,,true,
1301000811,1301000811,B07N4J8LZT,5015056625966,5015056625966,5015056625966,Helium 10,SKU = ref ERP,SI,SI,"1301000811, 5015056625966, 5015056627045, 5015056627076",Normal,"Luceco Linterna Frontal de Inspección LED con USB y Sensor de Movimiento PIR, 5 Modos de Luz, Ajustable, Recargable, Luces de Inspección, Alta Visibilidad, IK04, 3W, 150lm, 6500K, LILH15P65",true,
134002040,134002040,B00F2LULTM,,8011905183660,8011905183660,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"134002040, 8011905183660, 8011905708108",Normal,,true,
134006629,134006629,B00QMGLFWI,,8011905042172,8011905042172,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"134006629, 8011905042172, 8011905733896",Normal,,true,
1162000065,145345NW,B0H634YZH1,,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
1162000066,145345WW,B0H6BMTTPL,8436568442655,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
1500000488,1500000488,B002PA94DM,4008321393883,,4008321393883,Helium 10,SKU = ref ERP,REVISAR (SKU y EAN discrepan),NO — el EAN es de otra ref,150000048801,Preferente,Osram HALOLUX CERAM ECO 64404 - Lámpara halógena,true,
1500000602,1500000602,B00YMJ61EY,,,,SIN DATO,SKU = ref ERP,SI,SIN EAN EN AMAZON,150000060201,Normal,,true,
1500000631,1500000631,B07JD29CFK,,,,SIN DATO,SKU = ref ERP,SI,SIN EAN EN AMAZON,150000063101,Normal,,true,
150293172,150293172,B0001IPG1Y,,43168324168,43168324168,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"43168324168, 150293172",Normal,,true,
18000828,18000828,B000UXBNC6,4050300591667,,4050300591667,Helium 10,SKU = ref ERP,REVISAR (SKU y EAN discrepan),NO — el EAN es de otra ref,1800082801,Normal,"Osram LUMILUX T5 HO - Lámpara fluorescente, G5 24 W/830",true,
18000834,18000834,B008MTP1Q4,4050341262649,,4050341262649,Helium 10,SKU = ref ERP,SI,NO — EAN no existe en ERP,1800083401,Normal,Osram hal - Lámpara haloline 64690-es 80w r7s,true,
50142989,1V-YU1A-AJ5Q,B002LYYNNS,4008321945273,,4056256634748,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"Osram Halopin Eco 66720, Lámpara halógena, 230 V, 20 W, G9",true,
180008451,1W-BDUV-X6G1,B0H2BPZ9HG,5901854562247,,5901854562247,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"Bellight Tubo Fluorescente T8 36W | 6500K 865 Luz Fría Industrial | Casquillo G13 120cm | Iluminación de Alta Intensidad para Naves y Almacenes sustituto Osram, Philips, Sylvania y otros.",true,
,20-8JIO-S65S,B07XZ8LH9Q,,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,"SYLVANIA Lámpara LED R7s, 15 W/2000 lúmenes, equivalente a aprox. 150 W, luz doméstica (2700 K), 12000 horas de duración, forma lineal, diámetro de 118 mm, regulable, 3 unidades",true,
1297000581,243600WW,B0H6BN6G2P,8436568447254,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
268040143,268040143,B01F1WYQ9M,,8727900840506,8727900840506,ERP,SKU = ref ERP,SI,SIN EAN EN AMAZON,"268040143, 8727900840506, 8727900840513",Normal,,true,
268040144,268040144,B0042723ZW,8727900840537,8727900840537,8727900840537,Helium 10,SKU = ref ERP,SI,SI,"268040144, 8727900840537, 8727900840544",Preferente,TUBO FLUORESCENTE CIRCULAR 22W Ø21cm TRIFOSFORO 865K LUZ FRIA PHILIPS,true,
268040174,268040174,B09NQDFBJY,,,,SIN DATO,SKU = ref ERP,SI,SIN EAN EN AMAZON,26804017401,Normal,,true,
50101061,28-V6LZ-34CG,B00147EME8,4050300425627,4050300425627,4050300425627,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50101061, 4050300425627, 4050300425634",Normal,"Tubo fluorescente Osram DULUX T/E 42 W/840 PLUS GX24Q, lote de 1",true,
50107087,2B-JJGJ-E7D7,B002DUQ1EE,4050300518015,4050300518015,4050300518015,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50107087, 4050300518015, 4050300518022",Preferente,Radium Lampenwerk - Tubo fluorescente (NL-T8 30W/865/G13),true,
,2U-QRJ2-DG5X,B0D66VPH1M,8427227007551,,8427227007551,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"CLAR - Tubos Fluorescentes UV, Bombillas Antimosquitos, Luz UV, 10 Watts T8, Pack 2",true,
,2W-Q3PQ-HDCN,B002MFPMC2,5055662106916,,5055662106916,Helium 10,SIN MATCH,NO,SIN REF ERP,,,Osram HALOPIN 66760 ECO - Lámpara halógena,true,
,3L-GKUL-HPYV,B08PS7G7MP,760939384120,,760939384120,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"PACK Portalámparas casquillos GU10 para bombillas halogenas hasta 100W y bombilla led, zócalo de cerámica con cable de silicona 150mm de alta resistencia. Socket Lamp Holder Silicon Wire (10)",true,
,4O-AHGB-C9PC,B00HRTVWZE,,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,50-3KHM-NT43,B0776KVWYW,5060567470024,,5060567470024,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"DuraBulb - Bombillas UV matamoscas (6 W, 8 W, 10 W o 15 W)",true,
50105277,50105277,B000UXH8M0,4050300517919,4050300517919,4050300517919,Helium 10,SKU con ceros,SI,SI,"50105277, 4050300517919, 4050300517926",Normal,"Osram LUMILUX T8 - Lámpara fluorescente, G13L 36 W/827",true,
,54-F2H6-6WSP,B0BYF15GMC,3282779339735,,3282779339735,Helium 10,SIN MATCH,NO,SIN REF ERP,,,Naturia Champú Micelar Lote 2 Pz,true,
50125696,55-S4FS-FOMP,B000G271PY,4008321182197,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
1297001563,5520030CW,B0H638QZQP,8435724902958,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
111269138,58-2WNP-6ENB,B003UDDUT2,8711500202024,8711500202024,8711500202024,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"111269138, 8711500202024",Obsoleto,Bombilla de cultivo para Floración Philips SON-T PIA Green Power (600W),true,
,5N-IAGM-PAUC,B09R7PNVH1,3282770150186,,3282770150186,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"TRIPHASIC PROGRESSIVE 8 x 5,5 ml",true,
50105710,65-04RI-C3QH,B001QPB3N6,4050300012803,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,68-7MTQ-5DJN,B01MT6I3KY,878312003626,,878312003626,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"ASPECTEK Tubo de luz UV de Repuesto para matainsectos electrónico de 40 W, Paquete de 2 Unidades, Color Blanco",true,
1156000327,6D-TLUP-QFLZ,B07Q1552PF,,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,"Pack de 6 bombillas mr16 50w gu5.3 12v,ojos de buey de bajo consumo, focos interior de larga vida, estándar casquillo gu5.3, Luz Blanca Cálida 2700K, 510 Lúmenes，por brightfour",true,
80562929,6F-PUQY-1D55,B001CBVS8Y,5410288218564,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,6H-100W-XPOT,B0BVG8G7VB,8436568445946,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
50990682,6L-H045-BUPQ,B07LCNJDWX,4058075094277,4050300328201,4058075094277,Helium 10,Cruce por EAN,SOLO POR EAN,SI (codigo secundario),"50990682, 4050300328201, 4050300942193, 4058075094277, 4058075094284",Preferente,"Osram LAMP.HALOSTAR 64440S 50W 12V GY6,35 marca",true,
180008452,6M-5Y1T-2K8C,B0H2BGJ2XM,5901854562223,,5901854562223,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"Bellight Tubo Fluorescente T8 18W | 6500K 865 Luz Fría Día | Casquillo G13 60cm | Ideal para Talleres, Laboratorios y Garajes sustituto Osram, Philips, Sylvania y otros.",true,
,6T-RT7D-7MCT,B075MLDGL3,8436568440279,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,6X-MP3B-9GMA,B08CMW3567,4062172152655,,4062172152655,Helium 10,SIN MATCH,NO,SIN REF ERP,,,Osram AirZing PRO 5040 UV-C 36W HNS - Lámpara de deshumidificación,true,
80683837,70-E73Q-TJUB,B09NQFGNM2,5410288295817,5410288266725,5410288295817,Helium 10,Cruce por EAN,SOLO POR EAN,SI (codigo secundario),"80683837, 5410288266725, 5410288295817",Preferente,Bombilla Led TOLEDO GLSE27 8w 2700K SYLVANIA 0029581,true,
50907611,74-BN97-U09M,B000SLUAZ6,4050300854045,4050300854045,4050300854045,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50907611, 4050300797878, 4050300854045",Normal,"OSRAM - LEDVANCE AB425190355 CEBADOR ST.111 DE 4 A 65 W, 36 W, Multicolor, 1 Unidad (Paquete de 1)",true,
50990200,79-1MIN-VMEH,B000O0ZWPE,4050300010755,4050300010755,4050300010755,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50990200, 4050300010755, 4050300242330",Normal,"Osram DULUX Lámpara Fluorescente compacta 2G11, 24 W, Blanco Neutro",true,
80002206,80002206,B09NQF4R5H,5410288291789,5410288274478,5410288291789,Helium 10,SKU con ceros,SI,SI (codigo secundario),"80002206, 5410288274478, 5410288291789",Preferente,Bombilla Led Refled ES50GU10 6.2w 3000K 36ºSYLVANIA 0029178,true,
80003057,80003057,B09NQF58GP,5410288292113,5410288263342,5410288292113,Helium 10,SKU con ceros,SI,SI (codigo secundario),"80003057, 5410288263342, 5410288292113",Preferente,Bombilla Led Refled R80E27 V4 8w 3000KSYLVANIA 0029211,true,
80003304,80003304,B09NQGPJH4,5410288291222,5410288299587,5410288291222,Helium 10,SKU con ceros,SI,SI (codigo secundario),"80003304, 5410288291222, 5410288299587",Normal,Bombilla Led Refled Superia retroGU10 7.3w 3000K SYLVANIA 0029122,true,
,83-N8WR-SJ7A,B0CQ5FDHK4,4751029893741,,4751029893741,Helium 10,SIN MATCH,NO,SIN REF ERP,,,Thorgeon 05211 Lámpara halógena CERAM CR-T 150W E14 T13 2870Lm h70mm,true,
,8O-NIU7-GAW0,B01B57CVJY,4251136300113,,4251136300113,Helium 10,SIN MATCH,NO,SIN REF ERP,,,EXCELITAS PE300BFA PERKIN ELMER PE300BF,true,
1162000249,902715NW,B0H6BVJ912,8436568444512,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,902715WW,B0H6BM1DTD,8436568442099,,8436568442099,Helium 10,SIN MATCH,NO,SIN REF ERP,,,LDVlighting Bombilla LED R90 Casquillo E27 15W Reflectora | Luz Cálida 3000K 1350 Lumenes | Ángulo De Haz 100 Grados | Foco Reflector Profesional Para Interior,true,
,92-3JGD-OYZ4,B0H3LWPXJC,5901854562322,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,927977880093,B07PMT3T5K,,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,LAMPARA Solarium 140W Bronceado TUBO Fluorescente RAYOS UVA SUPRATAN 140W/R 2% (140W/10R) 1500mm 800 horas.,true,
50109690,99-RJM2-RXOF,B0016PLPM0,4008321161864,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
111269138,9W-S8YM-N9PE,B015T9P1K0,8711500202024,8711500202024,8711500202024,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"111269138, 8711500202024",Obsoleto,PHILIPS GREEN POWER SODIO 600 W - BOMBILLA HPS,true,
,ABC123,B0869632X5,8431938013275,,8431938013275,Helium 10,SIN MATCH,NO,SIN REF ERP,,,RENE FURTERER TRIPHASIC PROGRESIVE TRATAMIENTO ANTICAIDA 5.5 ML 8 FRASCOS,true,
111761828,AK-SB30-DLE0,B000KPWSV4,8711500623324,8711500623324,8711500623324,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"111761828, 8711500623324, 8711500715739",Normal,"Philips 62332470 Lámpara Fluorescente Compacta, 13 W, 840, 4P",true,
50140299,AL-6APG-K2PF,B0057RAZGK,4008321394965,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,AP-F4Z5-RZX1,B07Y8SRT54,3282770202410,,3282770202410,Helium 10,SIN MATCH,NO,SIN REF ERP,,,Rene Furterer Style Vegetal Finishing Spray 300 Ml 1 Unidad 300 ml,true,
150101933,B0010649S2,B0010649S2,43168345309,43168345309,43168345309,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"43168345309, 150101933",Obsoleto,Ge lighting ARCSTREAM - Lampara descarga arc70/uvc/td/730/rx7s,true,
50101634,B3-F79S-YZ34,B000SIDDZS,4050300442334,4050300442334,4050300442334,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50101634, 4050300442334, 4050300442341",Normal,"Osram Lamps Balasto Electrónico, Halotronic - Compact HTM, HTN, HTM 105/230-240",true,
,B5-OTTO-HSOE,B08PRTWXBG,760939384151,,760939384151,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"PACK X 50 Portalámparas casquillos GU10 para bombillas halogenas hasta 100W y bombilla led, zócalo de cerámica con cable de silicona 150mm de alta resistencia.",true,
500000004,B6-RBL7-TE4T,B074SXCJBB,4050300012407,4050300012407,4050300012407,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"500000004, 4050300012407",Normal,OSRAM ESB 64250 HLX (10 unidades),true,
,B7-F1KP-O75B,B001CC8O2Q,4050300647258,,4050300647258,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"OSRAM Lámpara para interior/posición/lectura OSRAM ORIGINAL, BA9S 12V 5w, 2 unidades",true,
123000477,BA-547I-DC4W,B07KX68MXJ,8436004394593,,8436004394593,Helium 10,SIN MATCH,NO,SIN REF ERP,,,Beneito Faure. Bombilla Led R-63 220-240v 8w 2700k 60º GU10. 721 Lumen. Equivale a 75w 50.000 Horas. 63 X 50mm.,true,
,BB-2W3E-A5VP,B0176HXPUQ,,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,BB-C39J-VU12,B0CCDDWTYW,4058075576209,,4058075576209,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"Osram Halostar Starlite 64415 S - Lote de 10 bombillas halógenas (10 W, 12 V, G4, 2800 K, intensidad regulable, 130 lúmenes)",true,
,BD-P4SA-8XDE,B0786YF74J,5060567470086,,5060567470086,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"DuraBulb - Bombillas UV matamoscas (6 W, 8 W, 10 W o 15 W)",true,
80003909,BE-HUEY-YKZM,B0719M82SJ,5410288276366,5410288276366,5410288276366,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"80003909, 5410288276366",Normal,"Sylvania GU10 lámpara LED tecnología, W/blanco, 11 – 11,5 x 6,5 x 11 cm",true,
,BU-H7KX-R1ZI,B08N6Z5TYS,,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,BZ-LAIW-HSHG,B08PSSVZB4,760939384144,,760939384144,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"PACK X 30 Portalámparas casquillos GU10 para bombillas halogenas hasta 100W y bombilla led, zócalo de cerámica con cable de silicona 150mm de alta resistencia.",true,
180008451,CB-3FQU-TIO5,B0H2BK9CD4,5901854562247,,5901854562278,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"Bellight Pack 25x Tubo Fluorescente T8 36W | 6500K 865 Luz Fría Industrial | Casquillo G13 120cm | Iluminación de Alta Intensidad para Naves y Almacenes sustituto Osram, Philips, Sylvania y otros",true,
50903927,CS-ART8-PG7U,B07PH2JX84,4058075094215,4050300335162,4058075094215,Helium 10,Cruce por EAN,SOLO POR EAN,SI (codigo secundario),"50903927, 4050300335162, 4050300942384, 4058075094215, 4058075094222",Preferente,64425 S AX 20 W 12 V G4 FS1 Osram 6 unidades,true,
111621009,CS-WABU-ZQZB,B009XIHKEE,8711500621009,8711500621009,8711500621009,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"111621009, 8711500621009, 8711500715968",Preferente,"Philips Master - Bombilla (PL-C 2P, 26 W, G24d-3, 840)",true,
50005218,D4-BWS9-NAOT,B000SLUEL6,4050300025759,4050300025759,4050300025759,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50005218, 4050300025759, 4050300258010",Normal,1906_Lamps_LED,true,
50142408,D8-3V8T-VQ2E,B002PA52Q0,4008321393807,4008321393807,4008321393807,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50142408, 4008321393807, 4008321393814",Normal,"Halolux Ceram B15d 205 W, transparente 64499 Eco – OSRAM",true,
,DD-IHJ8-FXHB,B00370SK1Q,43168432740,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,DH-FEG9-J4F0,B0CQCY5ZN4,8435611447906,,8435611447906,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"Deshumidificador 20 litros, programador digital, control de humedad, ideal para espacios cerrados y prevención de moho.",true,
1009001011,E7-6ZWL-WMWK,B01MU834SI,878312003619,,878312003619,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"ASPECTEK Foco de Repuesto UV para insecticida AC220, 240 V 10 W, Paquete de 2",true,
,EF-W74X-H5B3,B01GDAXD72,,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,EL-Q8TL-OAFT,B00654WG7U,4008321977656,,4008321977656,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"OSRAM Lineal Bombilla, R7s, 120 watts, Trasparente, 1 Unidad",true,
1110000077,EP-7LJR-OBNB,B07LBDL5YK,,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,ER-VTG4-KQB2,B09RKF7NBV,4058075590236,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
,F8-237U-LMV7,B099X8F45H,8714681116494,,8714681116494,Helium 10,SIN MATCH,NO,SIN REF ERP,,,Dr Fischer HS900-930 6V 4.5A P44s,true,
50134762,FQ-XWOD-XN24,B001QTXJLQ,4008321204547,4008321204547,4008321204547,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50134762, 4008321204547",Normal,"Osram Halopin Eco - Lámpara (33W, G9, 460 lm, C, 230V)",true,
50107094,FS-MZWI-OWCR,B000UXFGTC,4050300518039,4050300518039,4050300518039,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50107094, 4050300518039, 4050300518046",Normal,Osram fl - Lámpara lumilux l30/840 30w diámetro 26mm,true,
,FU-SFJO-M5HL,B01NCB4EOQ,733353372806,,,SIN DATO,SIN MATCH,NO,SIN REF ERP,,,,true,
50116713,GK-JMD3-EP8J,B072LP1N2G,4050300507132,4050300507132,4050300507132,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50116713, 4050300507132",Normal,OSRAM HBO 50W AC L1 Mercury Lámpara de descarga de arco corto,true,
111179906,H9-I5L6-UJVS,B00C66U02Y,8711500179906,8711500179906,8711500179906,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"111179906, 8711500179906",Normal,Philips HPI-T Plus 400 W E40 400 W,true,
50119122,HC-EVTI-GLRQ,B000UXBNC6,4050300591667,4050300591667,4050300591667,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50119122, 4050300591667, 4050300591674",Normal,"Osram LUMILUX T5 HO - Lámpara fluorescente, G5 24 W/830",true,
50142996,HE-BSD8-JSE1,B003AQPZYC,4008321945334,4008321945334,4008321945334,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50142996, 4008321945334, 4008321945341",Preferente,Osram 66748 ECO Lámpara halógena Halopin ECO,true,
50107704,HT-2WCK-MD3J,B000ONIE4M,4050300308081,4050300308081,4050300308081,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50107704, 4050300308081, 4050300942339",Normal,Osram 64418 - Bombilla Halógena 12v 10w 2800k G4. 450ºC. 140 Lumen. 33 x 10mm,true,
50119020,HY-51UL-KPU9,B000ONL1J2,4050300591469,4050300591469,4050300591469,Helium 10,Cruce por EAN,SOLO POR EAN,SI,"50119020, 4050300591469, 4050300591476",Normal,"Osram LUMILUX T5 HE - Lámpara fluorescente, 35 W/830",true,
,HY-PUNU-IN1P,B00QVKLL38,8711500404886,,8711500404886,Helium 10,SIN MATCH,NO,SIN REF ERP,,,LAMPARA/BOMBILLA UV DUV 35 - F101 P32D MICRODESCARGA PHILIPS/LABINO para usar en Standard MPXL y SuperXenon MPXL,true,
,IK-7PMR-GTYH,B08F5KXZRP,7432131093003,,7432131093003,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"Bluex Bulbs Paquete de 2 bombillas de repuesto para matamburos de 10 W para zapper electrónico de insectos T8 de 20 W, bombilla de repuesto para matador de insectos",true,
,IN-SY3B-8WS3,B08BFW55YL,4751029893444,,4751029893444,Helium 10,SIN MATCH,NO,SIN REF ERP,,,"Thorgeon CERAM - Bombilla (casquillo E27, 150 W, 240 V, 2780 lm, transparente)",true,
